Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
10988,52,52,0,True,64
10990,41,41,0,True,64
10994,15,15,0,True,64
10996,42,42,0,True,64
11027,31,31,0,True,64
11054,8,8,0,True,64
11061,23,23,0,True,64
11088,66,66,0,True,64
11116,27,27,0,True,64
11122,25,25,0,True,64
11134,38,38,0,True,64
11148,128,128,0,True,64
11151,25,25,0,True,64
11169,25,25,0,True,64
11193,79,79,0,True,64
11194,23,23,0,True,64
11201,25,25,0,True,64
11210,17,17,0,True,64
11222,25,25,0,True,64
11229,8,8,0,True,64
11256,23,23,0,True,64
11261,53,53,0,True,64
11271,46,46,0,True,64
11282,38,38,0,True,64
11293,47,47,0,True,64
11303,18,18,0,True,64
11304,28,28,0,True,64
11308,22,22,0,True,64
11322,69,69,0,True,64
11350,28,28,0,True,64
11355,30,30,0,True,64
11365,33,33,0,True,64
11370,13,13,0,True,64
11409,28,28,0,True,64
11424,25,25,0,True,64
11482,23,23,0,True,64
11501,18,18,0,True,64
11526,51,51,0,True,64
11558,28,28,0,True,64
11569,12,12,0,True,64
11576,19,19,0,True,64
11583,77,77,0,True,64
11593,73,73,0,True,64
11595,25,25,0,True,64
11598,10,10,0,True,64
11603,26,26,0,True,64
11606,115,115,0,True,64
11668,21,21,0,True,64
11669,9,9,0,True,64
11682,25,25,0,True,64
11715,23,23,0,True,64
11739,25,25,0,True,64
11746,25,25,0,True,64
11771,23,23,0,True,64
11778,72,72,0,True,64
11781,117,117,0,True,64
11808,45,45,0,True,64
11833,25,25,0,True,64
11872,12,12,0,True,64
11884,54,54,0,True,64
11904,12,12,0,True,64
11949,10,10,0,True,64
11955,37,37,0,True,64
11961,41,41,0,True,64
11967,18,18,0,True,64
11978,57,57,0,True,64
11981,41,41,0,True,64
11996,21,21,0,True,64
12001,21,21,0,True,64
12018,17,17,0,True,64
12032,87,87,0,True,64
12045,25,25,0,True,64
12064,14,14,0,True,64
12075,30,30,0,True,64
12086,53,53,0,True,64
12107,25,25,0,True,64
12110,34,34,0,True,64
12111,30,30,0,True,64
12138,9,9,0,True,64
12144,17,17,0,True,64
12169,25,25,0,True,64
12172,37,37,0,True,64
12181,22,22,0,True,64
12186,25,25,0,True,64
12195,53,53,0,True,64
12209,22,22,0,True,64
12216,23,23,0,True,64
12224,29,29,0,True,64
12237,19,19,0,True,64
12258,23,23,0,True,64
12278,20,20,0,True,64
12290,22,22,0,True,64
12290,22,22,0,True,64
12342,110,110,0,True,64
12349,28,28,0,True,64
12351,25,25,0,True,64
12398,28,28,0,True,64
12430,71,71,0,True,64
12431,87,87,0,True,64
12453,14,14,0,True,64
12462,99,99,0,True,64
12481,25,25,0,True,64
12482,20,20,0,True,64
12483,74,74,0,True,64
12487,69,69,0,True,64
12502,22,22,0,True,64
12580,57,57,0,True,64
12619,41,41,0,True,64
12622,22,22,0,True,64
12625,25,25,0,True,64
12627,61,61,0,True,64
12631,29,29,0,True,64
12638,26,26,0,True,64
12645,39,39,0,True,64
12650,25,25,0,True,64
12694,12,12,0,True,64
12710,23,23,0,True,64
12713,75,75,0,True,64
12752,48,48,0,True,64
12775,134,134,0,True,64
12809,80,80,0,True,64
12825,50,50,0,True,64
12831,25,25,0,True,64
12832,22,22,0,True,64
12840,25,25,0,True,64
12853,22,22,0,True,64
12857,23,23,0,True,64
12859,116,116,0,True,64
12865,16,16,0,True,64
12870,128,128,0,True,64
12874,58,58,0,True,64
12877,10,10,0,True,64
