step,Epoch/Avg_KL,Epoch/Avg_SVR,Epoch/Avg_Structural,Eval/SVR,Eval/acyclic_data_pass,Eval/in_degree_pass,Eval/no_orphan_pass,Eval/out_degree_pass,Eval/terminal_sink_pass,Loss/KL,Loss/Reconstruction,Loss/Structural,Loss/Total,Structural/acyclic,Structural/data_in,Structural/density,Structural/orphan,Structural/out_degree,Structural/sharpness,Structural/terminal,Structural/type_sharpness,run_name
0,,,,0.0,0.0,50.0,100.0,0.0,100.0,0.0,28.91818618774414,0.8909921646118164,28.927095413208008,0.028178231790661812,0.0,0.0,0.0,0.19672299921512604,0.24108678102493286,1.0316877365112305,0.1342546045780182,recon_dom_01_10
1,2.595073699951172,0.0026315790601074696,22.515869140625,,,,,,,0.0004367793444544077,24.178943634033203,24.997392654418945,24.429353713989258,0.1617053896188736,0.0,0.0,0.0,13.954219818115234,0.24445205926895142,20.394325256347656,0.13038700819015503,recon_dom_01_10
2,2.1247878074645996,0.01262626238167286,22.437339782714844,,,,,,,0.0011556276585906744,25.727901458740234,1.2244751453399658,25.741302490234375,0.04167968034744263,0.0,0.0,0.0,0.24749328196048737,0.23834902048110962,1.4623503684997559,0.13573366403579712,recon_dom_01_10
3,,,,,,,,,,0.0017857179045677185,23.712982177734375,8.485311508178711,23.79962158203125,0.08758436888456345,0.0,0.0,0.0,4.12054967880249,0.2403288185596466,7.778982639312744,0.13314975798130035,recon_dom_01_10
4,,,,,,,,,,0.0031377705745399,22.462541580200195,17.882823944091797,22.644508361816406,0.11791263520717621,0.0,0.0,0.0,9.844222068786621,0.2412738800048828,14.822799682617188,0.13512179255485535,recon_dom_01_10
5,,,,,,,,,,0.004187611863017082,24.074676513671875,7.898109436035156,24.15784454345703,0.10210268199443817,0.0,0.0,0.0,3.644798994064331,0.24292583763599396,7.4107279777526855,0.13140392303466797,recon_dom_01_10
6,,,,,,,,,,0.006019300781190395,24.709753036499023,5.288604259490967,24.768657684326172,0.08147276937961578,0.0,0.0,0.0,2.17537784576416,0.24181772768497467,5.336819648742676,0.13270872831344604,recon_dom_01_10
7,,,,,,,,,,0.0080882478505373,22.70486068725586,16.78740692138672,22.880823135375977,0.12201060354709625,0.0,0.0,0.0,9.163352012634277,0.24060744047164917,13.95322322845459,0.13329407572746277,recon_dom_01_10
8,,,,,,,,,,0.012942854315042496,27.771686553955078,0.6170629262924194,27.790800094604492,0.0238480344414711,6.466960621764883e-05,0.0,0.0,0.08501619100570679,0.23419657349586487,0.7503230571746826,0.14160683751106262,recon_dom_01_10
9,,,,,,,,,,0.011695707216858864,21.372142791748047,42.018497467041016,21.80402374267578,0.20853586494922638,0.0,0.0,0.0,24.83181381225586,0.24326005578041077,32.21318817138672,0.13086292147636414,recon_dom_01_10
10,,,,0.0,0.0,0.0,100.0,0.0,50.0,0.01549664419144392,20.596162796020508,26.207942962646484,20.87373924255371,0.15017664432525635,0.0,0.0,0.0,15.009428024291992,0.24049720168113708,20.820276260375977,0.134449303150177,recon_dom_01_10
11,,,,,,,,,,0.02230866253376007,23.304590225219727,3.310167074203491,23.360000610351562,0.06823761761188507,0.0,0.0,0.0,1.1958037614822388,0.23954182863235474,3.4714770317077637,0.13482609391212463,recon_dom_01_10
12,,,,,,,,,,0.02281717024743557,20.905590057373047,12.82949161529541,21.05670166015625,0.13689643144607544,0.0,0.0,0.0,6.543314456939697,0.24328525364398956,11.128554344177246,0.13089489936828613,recon_dom_01_10
13,,,,,,,,,,0.027005746960639954,21.859317779541016,5.860586166381836,21.944929122924805,0.11393751949071884,0.0,0.0,0.0,2.3673362731933594,0.2422776222229004,5.7723188400268555,0.13175071775913239,recon_dom_01_10
14,,,,,,,,,,0.028255954384803772,21.251399993896484,30.672529220581055,21.586381912231445,0.14477801322937012,0.006686578970402479,0.0,0.0,17.913955688476562,0.23924793303012848,23.980552673339844,0.13798126578330994,recon_dom_01_10
15,,,,,,,,,,0.024142056703567505,20.025474548339844,50.0,20.54961585998535,0.36395809054374695,0.0,0.0,0.0,56.09421157836914,0.2471139132976532,69.7732925415039,0.12806107103824615,recon_dom_01_10
16,,,,,,,,,,0.033716894686222076,21.254682540893555,25.35947036743164,21.541994094848633,0.15964777767658234,0.0,0.0,0.0,13.995365142822266,0.2459871470928192,21.05664825439453,0.12944447994232178,recon_dom_01_10
17,,,,,,,,,,0.04446348547935486,22.577550888061523,4.843360900878906,22.670448303222656,0.09425191581249237,0.0,0.0,0.0,1.7986011505126953,0.2416640818119049,5.072213172912598,0.13227450847625732,recon_dom_01_10
18,,,,,,,,,,0.04816571995615959,19.562116622924805,24.611003875732422,19.85639190673828,0.1418977826833725,0.0,0.0,0.0,14.027419090270996,0.2423999309539795,19.67321014404297,0.13251349329948425,recon_dom_01_10
19,,,,,,,,,,0.053827278316020966,19.37835693359375,24.88345718383789,19.681018829345703,0.1425977349281311,0.0,0.0,0.0,14.232298851013184,0.24242815375328064,19.801376342773438,0.132395401597023,recon_dom_01_10
20,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.05796642601490021,20.416757583618164,26.276609420776367,20.737489700317383,0.1409701704978943,0.0,0.0,0.0,15.122270584106445,0.24139712750911713,20.82386016845703,0.1341886669397354,recon_dom_01_10
21,,,,,,,,,,0.03746889531612396,18.35240364074707,50.0,18.88987159729004,0.6927438974380493,0.0,0.0,0.0,135.29917907714844,0.2482720911502838,155.95986938476562,0.12726926803588867,recon_dom_01_10
22,,,,,,,,,,0.06828278303146362,20.410158157348633,12.03355598449707,20.59877586364746,0.11550061404705048,0.0,0.0,0.0,5.963807582855225,0.24479949474334717,10.909480094909668,0.13025718927383423,recon_dom_01_10
23,,,,,,,,,,0.05878657102584839,18.412843704223633,50.0,18.971630096435547,0.3704225718975067,0.0,0.0,0.0,62.89987564086914,0.24595250189304352,75.3722915649414,0.12913978099822998,recon_dom_01_10
24,,,,,,,,,,0.09809532016515732,19.281517028808594,1.7551188468933105,19.39716339111328,0.049641285091638565,0.0,0.0,0.0,0.44198161363601685,0.23962700366973877,2.0550742149353027,0.1343100368976593,recon_dom_01_10
25,,,,,,,,,,0.07117822766304016,19.14645004272461,50.0,19.717628479003906,0.2690099775791168,0.0,0.0,0.0,37.819786071777344,0.24658948183059692,48.79840850830078,0.12914130091667175,recon_dom_01_10
26,,,,,,,,,,0.10217460244894028,20.477462768554688,5.1870880126953125,20.631507873535156,0.09899234771728516,0.0,0.0,0.0,1.9896678924560547,0.24267283082008362,5.330124855041504,0.13128697872161865,recon_dom_01_10
27,,,,,,,,,,0.10353939980268478,19.59066390991211,7.538821220397949,19.76959228515625,0.083042211830616,0.0,0.0,0.0,3.355792284011841,0.24404498934745789,7.460493087768555,0.13166505098342896,recon_dom_01_10
28,,,,,,,,,,0.1236560270190239,20.293506622314453,5.827707290649414,20.475439071655273,0.06409751623868942,0.0,0.0,0.0,2.7286088466644287,0.23942294716835022,5.482150077819824,0.13592883944511414,recon_dom_01_10
29,,,,,,,,,,0.1434287428855896,19.39716339111328,1.3159151077270508,19.55375099182129,0.05380559712648392,0.0,0.0,0.0,0.26271435618400574,0.23969364166259766,1.493346929550171,0.13529865443706512,recon_dom_01_10
30,,,,0.0,0.0,0.0,100.0,0.0,50.0,0.1330123394727707,19.146949768066406,6.174919128417969,19.341711044311523,0.08373481035232544,0.0,0.0,0.0,2.650024175643921,0.2429443895816803,6.137636184692383,0.13108563423156738,recon_dom_01_10
31,,,,,,,,,,0.15159697830677032,20.125673294067383,3.2495741844177246,20.30976676940918,0.06134108453989029,0.0,0.0,0.0,1.1891064643859863,0.2407132089138031,3.432725667953491,0.13328082859516144,recon_dom_01_10
32,,,,,,,,,,0.1499927043914795,19.593286514282227,5.894388198852539,19.802223205566406,0.06926152110099792,0.0,0.0,0.0,2.756878137588501,0.24169152975082397,5.507408142089844,0.13329222798347473,recon_dom_01_10
33,,,,,,,,,,0.14473848044872284,18.16993522644043,32.10078430175781,18.63568115234375,0.17463815212249756,0.0,0.0,0.0,18.561016082763672,0.24453231692314148,25.25814437866211,0.1305108219385147,recon_dom_01_10
34,,,,,,,,,,0.17073290050029755,18.961963653564453,7.164915561676025,19.204345703125,0.07548709213733673,0.0,0.0,0.0,3.446343183517456,0.2427147924900055,6.60729455947876,0.13218216598033905,recon_dom_01_10
35,,,,,,,,,,0.15847960114479065,17.224809646606445,32.194580078125,17.70523452758789,0.19784367084503174,0.0,0.0,0.0,18.14130210876465,0.24549391865730286,26.053199768066406,0.12912821769714355,recon_dom_01_10
36,,,,,,,,,,0.19061820209026337,18.53136444091797,6.105303764343262,18.783035278320312,0.08502204716205597,0.0,0.0,0.0,2.587825298309326,0.24349114298820496,6.109701633453369,0.13168294727802277,recon_dom_01_10
37,,,,,,,,,,0.18734988570213318,17.506637573242188,24.348915100097656,17.937477111816406,0.16828352212905884,0.0,0.0,0.0,13.484886169433594,0.24307018518447876,19.970352172851562,0.13127490878105164,recon_dom_01_10
38,,,,,,,,,,0.20994672179222107,17.834314346313477,8.22961139678955,18.126556396484375,0.10375416278839111,0.0,0.0,0.0,3.7957780361175537,0.2434994876384735,7.755236625671387,0.13094310462474823,recon_dom_01_10
39,,,,,,,,,,0.2326211929321289,19.392751693725586,2.635485887527466,19.6517276763916,0.0412614531815052,0.030737977474927902,0.0,0.0,1.0256657600402832,0.23826400935649872,2.67080020904541,0.1354832649230957,recon_dom_01_10
40,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.20672866702079773,16.20616912841797,50.0,16.91289710998535,0.25240346789360046,0.0,0.0,0.0,35.72414016723633,0.24588239192962646,45.09749984741211,0.12945204973220825,recon_dom_01_10
41,,,,,,,,,,0.24079498648643494,18.299440383911133,5.988974094390869,18.60012435913086,0.08481784164905548,0.0,0.0,0.0,2.5716867446899414,0.24264132976531982,5.911487102508545,0.13190439343452454,recon_dom_01_10
42,,,,,,,,,,0.1680896282196045,16.035564422607422,50.0,16.70365333557129,0.5004070401191711,0.0,0.0,0.0,91.16969299316406,0.24778306484222412,108.35478210449219,0.1274741291999817,recon_dom_01_10
43,,,,,,,,,,0.1160791665315628,15.61434268951416,50.0,16.23042106628418,1.5917903184890747,0.0,0.0,0.0,325.5765686035156,0.24880412220954895,359.2731018066406,0.12671047449111938,recon_dom_01_10
44,,,,,,,,,,0.25993987917900085,17.230493545532227,24.580520629882812,17.736238479614258,0.15692293643951416,0.0,0.0,0.0,13.676528930664062,0.2441871464252472,20.16372299194336,0.13096632063388824,recon_dom_01_10
45,,,,,,,,,,0.25737014412879944,16.590940475463867,32.99897003173828,17.178300857543945,0.19308187067508698,0.0,0.0,0.0,18.33403968811035,0.2459467500448227,27.324037551879883,0.12907618284225464,recon_dom_01_10
46,,,,,,,,,,0.27534568309783936,16.22043228149414,25.273757934570312,16.748516082763672,0.17047765851020813,0.0,0.0,0.0,13.816649436950684,0.24588517844676971,21.13445472717285,0.12903331220149994,recon_dom_01_10
47,,,,,,,,,,0.35914891958236694,16.877492904663086,2.1955642700195312,17.25859832763672,0.06708905100822449,0.0,0.0,0.0,0.6526967883110046,0.2373943030834198,2.340165615081787,0.13600127398967743,recon_dom_01_10
48,,,,,,,,,,0.33864521980285645,15.816237449645996,22.699708938598633,16.381879806518555,0.1419745832681656,0.0,0.0,0.0,12.821272850036621,0.24256959557533264,18.26213264465332,0.13237929344177246,recon_dom_01_10
49,,,,,,,,,,0.3495645523071289,16.526752471923828,8.304635047912598,16.95936393737793,0.09795813262462616,0.0,0.0,0.0,3.7981584072113037,0.2440512627363205,7.958383560180664,0.13089638948440552,recon_dom_01_10
50,,,,0.0,0.0,0.0,100.0,0.0,50.0,0.36432814598083496,15.966766357421875,13.707475662231445,16.468170166015625,0.12269586324691772,0.0,0.0,0.0,6.973792552947998,0.24406221508979797,12.165533065795898,0.1303003579378128,recon_dom_01_10
51,,,,,,,,,,0.278883159160614,15.561333656311035,50.0,16.34021759033203,1.0801056623458862,0.0,0.0,0.0,231.77435302734375,0.2427832931280136,245.10568237304688,0.13258492946624756,recon_dom_01_10
52,,,,,,,,,,0.3377706706523895,14.829086303710938,50.0,15.66685676574707,0.42713022232055664,0.0,0.0,0.0,81.98629760742188,0.2442930042743683,93.5064468383789,0.13062813878059387,recon_dom_01_10
53,,,,,,,,,,0.4555252492427826,18.73423194885254,0.43105924129486084,19.194067001342773,0.01672280952334404,0.0,0.0,0.0,0.10070514678955078,0.23429526388645172,0.4179723262786865,0.1432434618473053,recon_dom_01_10
54,,,,,,,,,,0.47495436668395996,14.999589920043945,3.9796509742736816,15.5143404006958,0.07441665977239609,0.0,0.0,0.0,1.5511606931686401,0.24149921536445618,4.037843704223633,0.13335144519805908,recon_dom_01_10
55,,,,,,,,,,0.3034934401512146,15.466962814331055,50.0,16.270456314086914,0.35571980476379395,0.0,0.0,0.0,56.01136779785156,0.24758750200271606,70.4842300415039,0.12785667181015015,recon_dom_01_10
56,,,,,,,,,,0.5000483989715576,13.949347496032715,7.043915271759033,14.519835472106934,0.10707985609769821,0.0,0.0,0.0,3.268200159072876,0.24101755023002625,6.405679702758789,0.13374388217926025,recon_dom_01_10
57,,,,,,,,,,0.3309439420700073,14.692781448364258,50.0,15.523725509643555,0.9700837731361389,0.0,0.0,0.0,207.5979461669922,0.24536225199699402,226.8717041015625,0.12966251373291016,recon_dom_01_10
58,,,,,,,,,,0.5209100246429443,15.898890495300293,5.104217052459717,16.470842361450195,0.06756186485290527,0.0,0.0,0.0,2.2685935497283936,0.24155330657958984,4.920751571655273,0.13283155858516693,recon_dom_01_10
59,,,,,,,,,,0.5343700647354126,15.05897331237793,5.401240348815918,15.647356033325195,0.06750515103340149,0.0,0.0,0.0,2.3816545009613037,0.24163949489593506,5.289247989654541,0.13272252678871155,recon_dom_01_10
60,,,,0.0,0.0,50.0,100.0,0.0,0.0,0.5392681360244751,14.68630313873291,9.913362503051758,15.324705123901367,0.09239476919174194,0.0,0.0,0.0,5.024841785430908,0.24138635396957397,8.777871131896973,0.13471785187721252,recon_dom_01_10
61,,,,,,,,,,0.5213073492050171,15.050113677978516,9.501352310180664,15.666434288024902,0.1057136282324791,0.0,0.0,0.0,4.527087211608887,0.2435145378112793,8.816401481628418,0.13144627213478088,recon_dom_01_10
62,,,,,,,,,,0.6339779496192932,15.740434646606445,0.8179355263710022,16.382591247558594,0.030650382861495018,0.0,0.0,0.0,0.14292848110198975,0.23728545010089874,0.9684116244316101,0.13820800185203552,recon_dom_01_10
63,,,,,,,,,,0.5376253128051758,13.103373527526855,36.44462203979492,14.00544548034668,0.18049177527427673,0.0,0.0,0.0,21.497940063476562,0.24273672699928284,28.0134334564209,0.13230867683887482,recon_dom_01_10
64,,,,,,,,,,0.6201989650726318,13.934430122375488,6.886561393737793,14.623495101928711,0.10086610913276672,0.0,0.0,0.0,3.004436492919922,0.24401013553142548,6.680693626403809,0.13046735525131226,recon_dom_01_10
65,,,,,,,,,,0.5354841947555542,13.944000244140625,44.59898376464844,14.925474166870117,0.18759867548942566,0.0,0.0,0.0,26.745676040649414,0.24152308702468872,33.75554275512695,0.13393300771713257,recon_dom_01_10
66,,,,,,,,,,0.6294634342193604,13.96106243133545,7.543925762176514,14.66596508026123,0.09086219221353531,0.0,0.0,0.0,3.343341588973999,0.24341514706611633,7.417706489562988,0.13078372180461884,recon_dom_01_10
67,,,,,,,,,,0.5316798090934753,13.322965621948242,50.0,14.354645729064941,0.32364025712013245,0.0,0.0,0.0,53.193336486816406,0.24470753967761993,63.21692657470703,0.13111281394958496,recon_dom_01_10
68,,,,,,,,,,0.6278952956199646,13.188179969787598,14.811759948730469,13.964192390441895,0.11372184008359909,0.0,0.0,0.0,7.841055870056152,0.24337726831436157,12.729023933410645,0.13245871663093567,recon_dom_01_10
